snapshot_date,sku_code,outlet_id,end_stock,stock_in
2024-02-01,SKU001,OUT-001,5,5.0
2024-02-01,SKU001,OUT-002,11,5.0
2024-02-01,SKU001,OUT-003,5,15.0
2024-02-01,SKU001,OUT-004,2,
2024-02-01,SKU001,OUT-005,5,10.0
2024-02-01,SKU001,OUT-006,5,5.0
2024-02-01,SKU001,OUT-007,3,15.0
2024-02-01,SKU001,OUT-008,5,15.0
2024-02-01,SKU001,OUT-009,5,10.0
2024-02-01,SKU001,OUT-010,5,10.0
2024-02-01,SKU001,OUT-011,5,5.0
2024-02-01,SKU001,OUT-012,4,0.0
2024-02-01,SKU001,OUT-013,26,0.0
2024-02-01,SKU001,OUT-014,2,0.0
2024-02-01,SKU001,OUT-015,5,10.0
2024-02-01,SKU001,OUT-016,4,15.0
2024-02-01,SKU001,OUT-017,4,0.0
2024-02-01,SKU001,OUT-018,21,
2024-02-01,SKU001,OUT-019,10,0.0
2024-02-01,SKU001,OUT-020,19,5.0
2024-02-01,SKU001,OUT-021,15,0.0
2024-02-01,SKU001,OUT-022,5,10.0
2024-02-01,SKU001,OUT-023,2,5.0
2024-02-01,SKU001,OUT-024,0,
2024-02-01,SKU001,OUT-025,0,10.0
2024-02-01,SKU002,OUT-001,5,0.0
2024-02-01,SKU002,OUT-002,5,
2024-02-01,SKU002,OUT-003,2,10.0
2024-02-01,SKU002,OUT-004,0,10.0
2024-02-01,SKU002,OUT-005,5,0.0
2024-02-01,SKU002,OUT-006,5,10.0
2024-02-01,SKU002,OUT-007,5,15.0
2024-02-01,SKU002,OUT-008,2,15.0
2024-02-01,SKU002,OUT-009,23,0.0
2024-02-01,SKU002,OUT-010,0,0.0
2024-02-01,SKU002,OUT-011,5,10.0
2024-02-01,SKU002,OUT-012,5,0.0
2024-02-01,SKU002,OUT-013,3,
2024-02-01,SKU002,OUT-014,12,0.0
2024-02-01,SKU002,OUT-015,4,10.0
2024-02-01,SKU002,OUT-016,28,0.0
2024-02-01,SKU002,OUT-017,5,15.0
2024-02-01,SKU002,OUT-018,2,0.0
2024-02-01,SKU002,OUT-019,5,10.0
2024-02-01,SKU002,OUT-020,5,15.0
2024-02-01,SKU002,OUT-021,5,10.0
2024-02-01,SKU002,OUT-022,5,10.0
2024-02-01,SKU002,OUT-023,8,10.0
2024-02-01,SKU002,OUT-024,5,10.0
2024-02-01,SKU002,OUT-025,3,10.0
2024-02-01,SKU003,OUT-001,5,10.0
2024-02-01,SKU003,OUT-002,5,
2024-02-01,SKU003,OUT-003,0,10.0
2024-02-01,SKU003,OUT-004,4,5.0
2024-02-01,SKU003,OUT-005,5,5.0
2024-02-01,SKU003,OUT-006,27,5.0
2024-02-01,SKU003,OUT-007,27,15.0
2024-02-01,SKU003,OUT-008,5,10.0
2024-02-01,SKU003,OUT-009,24,
2024-02-01,SKU003,OUT-010,5,
2024-02-01,SKU003,OUT-011,16,15.0
2024-02-01,SKU003,OUT-012,5,0.0
2024-02-01,SKU003,OUT-013,12,15.0
2024-02-01,SKU003,OUT-014,0,15.0
2024-02-01,SKU003,OUT-015,1,15.0
2024-02-01,SKU003,OUT-016,1,10.0
2024-02-01,SKU003,OUT-017,2,10.0
2024-02-01,SKU003,OUT-018,3,0.0
2024-02-01,SKU003,OUT-019,0,0.0
2024-02-01,SKU003,OUT-020,23,15.0
2024-02-01,SKU003,OUT-021,5,5.0
2024-02-01,SKU003,OUT-022,8,0.0
2024-02-01,SKU003,OUT-023,4,5.0
2024-02-01,SKU003,OUT-024,5,5.0
2024-02-01,SKU003,OUT-025,5,10.0
2024-02-01,SKU007,OUT-001,24,15.0
2024-02-01,SKU007,OUT-002,5,15.0
2024-02-01,SKU007,OUT-003,5,10.0
2024-02-01,SKU007,OUT-004,4,0.0
2024-02-01,SKU007,OUT-005,5,
2024-02-01,SKU007,OUT-006,5,10.0
2024-02-01,SKU007,OUT-007,13,10.0
2024-02-01,SKU007,OUT-008,3,15.0
2024-02-01,SKU007,OUT-009,8,15.0
2024-02-01,SKU007,OUT-010,2,5.0
2024-02-01,SKU007,OUT-011,10,0.0
2024-02-01,SKU007,OUT-012,3,5.0
