snapshot_date;sku_code;outlet_id;end_stock;stock_in
01/01/2024;SKU001;OUT-001;5;0
01/01/2024;SKU001;OUT-002;5;10
01/01/2024;SKU001;OUT-003;23;5
01/01/2024;SKU001;OUT-004;5;
01/01/2024;SKU001;OUT-005;5;
01/01/2024;SKU001;OUT-006;5;
01/01/2024;SKU001;OUT-007;6;
01/01/2024;SKU001;OUT-008;5;
01/01/2024;SKU001;OUT-009;5;
01/01/2024;SKU001;OUT-010;5;
01/01/2024;SKU001;OUT-011;1;15
01/01/2024;SKU001;OUT-012;5;15
01/01/2024;SKU001;OUT-013;20;10
01/01/2024;SKU001;OUT-014;6;0
01/01/2024;SKU001;OUT-015;5;15
01/01/2024;SKU001;OUT-016;5;15
01/01/2024;SKU001;OUT-017;28;5
01/01/2024;SKU001;OUT-018;14;10
01/01/2024;SKU001;OUT-019;5;
01/01/2024;SKU001;OUT-020;5;0
01/01/2024;SKU001;OUT-021;4;10
01/01/2024;SKU001;OUT-022;5;0
01/01/2024;SKU001;OUT-023;5;0
01/01/2024;SKU001;OUT-024;0;
01/01/2024;SKU001;OUT-025;5;5
01/01/2024;SKU002;OUT-001;5;0
01/01/2024;SKU002;OUT-002;14;0
01/01/2024;SKU002;OUT-003;5;0
01/01/2024;SKU002;OUT-004;19;
01/01/2024;SKU002;OUT-005;23;10
01/01/2024;SKU002;OUT-006;5;5
01/01/2024;SKU002;OUT-007;5;15
01/01/2024;SKU002;OUT-008;5;10
01/01/2024;SKU002;OUT-009;5;15
01/01/2024;SKU002;OUT-010;6;0
01/01/2024;SKU002;OUT-011;0;
01/01/2024;SKU002;OUT-012;13;5
01/01/2024;SKU002;OUT-013;19;15
01/01/2024;SKU002;OUT-014;5;
01/01/2024;SKU002;OUT-015;5;
01/01/2024;SKU002;OUT-016;5;10
01/01/2024;SKU002;OUT-017;2;
01/01/2024;SKU002;OUT-018;3;15
01/01/2024;SKU002;OUT-019;3;15
01/01/2024;SKU002;OUT-020;5;
01/01/2024;SKU002;OUT-021;3;10
01/01/2024;SKU002;OUT-022;5;15
01/01/2024;SKU002;OUT-023;5;15
01/01/2024;SKU002;OUT-024;2;
01/01/2024;SKU002;OUT-025;4;
01/01/2024;SKU003;OUT-001;5;15
01/01/2024;SKU003;OUT-002;14;10
01/01/2024;SKU003;OUT-003;5;0
01/01/2024;SKU003;OUT-004;0;0
01/01/2024;SKU003;OUT-005;5;5
01/01/2024;SKU003;OUT-006;8;10
01/01/2024;SKU003;OUT-007;3;
01/01/2024;SKU003;OUT-008;11;0
01/01/2024;SKU003;OUT-009;4;
01/01/2024;SKU003;OUT-010;5;
01/01/2024;SKU003;OUT-011;5;0
01/01/2024;SKU003;OUT-012;5;5
01/01/2024;SKU003;OUT-013;2;5
01/01/2024;SKU003;OUT-014;5;
01/01/2024;SKU003;OUT-015;5;5
01/01/2024;SKU003;OUT-016;21;0
01/01/2024;SKU003;OUT-017;4;5
01/01/2024;SKU003;OUT-018;24;10
01/01/2024;SKU003;OUT-019;7;
01/01/2024;SKU003;OUT-020;2;15
01/01/2024;SKU003;OUT-021;0;15
01/01/2024;SKU003;OUT-022;5;15
01/01/2024;SKU003;OUT-023;5;10
01/01/2024;SKU003;OUT-024;5;
01/01/2024;SKU003;OUT-025;3;5
01/01/2024;SKU007;OUT-001;5;
01/01/2024;SKU007;OUT-002;5;10
01/01/2024;SKU007;OUT-003;5;
01/01/2024;SKU007;OUT-004;4;5
01/01/2024;SKU007;OUT-005;27;0
01/01/2024;SKU007;OUT-006;5;5
01/01/2024;SKU007;OUT-007;5;
01/01/2024;SKU007;OUT-008;22;
01/01/2024;SKU007;OUT-009;3;5
01/01/2024;SKU007;OUT-010;21;0
01/01/2024;SKU007;OUT-011;5;15
01/01/2024;SKU007;OUT-012;2;0
01/01/2024;SKU007;OUT-013;0;10
01/01/2024;SKU007;OUT-014;4;
01/01/2024;SKU007;OUT-015;5;5
01/01/2024;SKU007;OUT-016;22;10
01/01/2024;SKU007;OUT-017;5;5
01/01/2024;SKU007;OUT-018;5;5
01/01/2024;SKU007;OUT-019;5;5
01/01/2024;SKU007;OUT-020;2;5
01/01/2024;SKU007;OUT-021;4;
01/01/2024;SKU007;OUT-022;5;
01/01/2024;SKU007;OUT-023;0;10
01/01/2024;SKU007;OUT-024;5;15
01/01/2024;SKU007;OUT-025;5;15
01/01/2024;SKU008;OUT-001;5;15
01/01/2024;SKU008;OUT-002;3;15
01/01/2024;SKU008;OUT-003;0;5
01/01/2024;SKU008;OUT-004;15;0
01/01/2024;SKU008;OUT-005;4;0
01/01/2024;SKU008;OUT-006;17;
01/01/2024;SKU008;OUT-007;5;10
01/01/2024;SKU008;OUT-008;4;
01/01/2024;SKU008;OUT-009;5;0
01/01/2024;SKU008;OUT-010;9;0
01/01/2024;SKU008;OUT-011;0;15
01/01/2024;SKU008;OUT-012;25;0
01/01/2024;SKU008;OUT-013;5;10
01/01/2024;SKU008;OUT-014;3;10
01/01/2024;SKU008;OUT-015;0;0
01/01/2024;SKU008;OUT-016;12;5
01/01/2024;SKU008;OUT-017;5;15
01/01/2024;SKU008;OUT-018;5;5
01/01/2024;SKU008;OUT-019;5;15
01/01/2024;SKU008;OUT-020;22;
01/01/2024;SKU008;OUT-021;3;15
01/01/2024;SKU008;OUT-022;5;10
01/01/2024;SKU008;OUT-023;5;15
01/01/2024;SKU008;OUT-024;5;
01/01/2024;SKU008;OUT-025;3;10
01/01/2024;SKU009;OUT-001;5;15
01/01/2024;SKU009;OUT-002;5;0
01/01/2024;SKU009;OUT-003;0;10
01/01/2024;SKU009;OUT-004;26;10
01/01/2024;SKU009;OUT-005;3;0
01/01/2024;SKU009;OUT-006;5;0
01/01/2024;SKU009;OUT-007;25;
01/01/2024;SKU009;OUT-008;19;10
01/01/2024;SKU009;OUT-009;2;5
01/01/2024;SKU009;OUT-010;0;
01/01/2024;SKU009;OUT-011;3;
01/01/2024;SKU009;OUT-012;5;5
01/01/2024;SKU009;OUT-013;27;
01/01/2024;SKU009;OUT-014;3;5
01/01/2024;SKU009;OUT-015;20;0
01/01/2024;SKU009;OUT-016;2;0
01/01/2024;SKU009;OUT-017;5;10
01/01/2024;SKU009;OUT-018;3;10
01/01/2024;SKU009;OUT-019;5;
01/01/2024;SKU009;OUT-020;5;10
01/01/2024;SKU009;OUT-021;5;10
01/01/2024;SKU009;OUT-022;2;15
01/01/2024;SKU009;OUT-023;5;10
01/01/2024;SKU009;OUT-024;5;10
01/01/2024;SKU009;OUT-025;0;10
01/01/2024;SKU004;OUT-001;30;0
01/01/2024;SKU004;OUT-002;5;5
01/01/2024;SKU004;OUT-003;4;0
01/01/2024;SKU004;OUT-004;5;0
01/01/2024;SKU004;OUT-005;5;10
01/01/2024;SKU004;OUT-006;20;
01/01/2024;SKU004;OUT-007;3;0
01/01/2024;SKU004;OUT-008;5;
01/01/2024;SKU004;OUT-009;5;10
01/01/2024;SKU004;OUT-010;5;15
01/01/2024;SKU004;OUT-011;26;
01/01/2024;SKU004;OUT-012;0;10
01/01/2024;SKU004;OUT-013;5;
01/01/2024;SKU004;OUT-014;5;
01/01/2024;SKU004;OUT-015;0;
01/01/2024;SKU004;OUT-016;7;5
01/01/2024;SKU004;OUT-017;5;5
01/01/2024;SKU004;OUT-018;16;5
01/01/2024;SKU004;OUT-019;5;5
01/01/2024;SKU004;OUT-020;5;
01/01/2024;SKU004;OUT-021;25;15
01/01/2024;SKU004;OUT-022;0;10
01/01/2024;SKU004;OUT-023;4;10
01/01/2024;SKU004;OUT-024;4;15
01/01/2024;SKU004;OUT-025;5;10
01/01/2024;SKU005;OUT-001;5;5
01/01/2024;SKU005;OUT-002;0;
01/01/2024;SKU005;OUT-003;30;
01/01/2024;SKU005;OUT-004;5;0
01/01/2024;SKU005;OUT-005;5;5
01/01/2024;SKU005;OUT-006;3;15
01/01/2024;SKU005;OUT-007;28;5
01/01/2024;SKU005;OUT-008;0;15
01/01/2024;SKU005;OUT-009;25;
01/01/2024;SKU005;OUT-010;5;5
01/01/2024;SKU005;OUT-011;5;5
01/01/2024;SKU005;OUT-012;0;10
01/01/2024;SKU005;OUT-013;4;15
01/01/2024;SKU005;OUT-014;22;
01/01/2024;SKU005;OUT-015;10;
01/01/2024;SKU005;OUT-016;0;10
01/01/2024;SKU005;OUT-017;5;10
01/01/2024;SKU005;OUT-018;3;15
01/01/2024;SKU005;OUT-019;2;
01/01/2024;SKU005;OUT-020;27;10
01/01/2024;SKU005;OUT-021;2;0
01/01/2024;SKU005;OUT-022;5;
01/01/2024;SKU005;OUT-023;4;10
01/01/2024;SKU005;OUT-024;5;0
01/01/2024;SKU005;OUT-025;0;0
01/01/2024;SKU006;OUT-001;5;0
01/01/2024;SKU006;OUT-002;5;0
01/01/2024;SKU006;OUT-003;5;0
01/01/2024;SKU006;OUT-004;5;10
01/01/2024;SKU006;OUT-005;5;15
01/01/2024;SKU006;OUT-006;2;0
01/01/2024;SKU006;OUT-007;5;
01/01/2024;SKU006;OUT-008;5;
01/01/2024;SKU006;OUT-009;5;
01/01/2024;SKU006;OUT-010;5;
01/01/2024;SKU006;OUT-011;5;10
01/01/2024;SKU006;OUT-012;5;5
01/01/2024;SKU006;OUT-013;2;15
01/01/2024;SKU006;OUT-014;4;
01/01/2024;SKU006;OUT-015;25;10
01/01/2024;SKU006;OUT-016;3;15
01/01/2024;SKU006;OUT-017;5;15
01/01/2024;SKU006;OUT-018;2;15
01/01/2024;SKU006;OUT-019;5;
01/01/2024;SKU006;OUT-020;3;10
01/01/2024;SKU006;OUT-021;2;10
01/01/2024;SKU006;OUT-022;2;15
01/01/2024;SKU006;OUT-023;3;10
01/01/2024;SKU006;OUT-024;5;
01/01/2024;SKU006;OUT-025;30;15
01/01/2024;SKU010;OUT-001;24;
01/01/2024;SKU010;OUT-002;0;
01/01/2024;SKU010;OUT-003;17;
01/01/2024;SKU010;OUT-004;10;
01/01/2024;SKU010;OUT-005;5;5
01/01/2024;SKU010;OUT-006;5;5
01/01/2024;SKU010;OUT-007;5;10
01/01/2024;SKU010;OUT-008;4;10
01/01/2024;SKU010;OUT-009;4;10
01/01/2024;SKU010;OUT-010;5;0
01/01/2024;SKU010;OUT-011;3;15
01/01/2024;SKU010;OUT-012;3;15
01/01/2024;SKU010;OUT-013;17;5
01/01/2024;SKU010;OUT-014;6;
01/01/2024;SKU010;OUT-015;5;15
01/01/2024;SKU010;OUT-016;5;15
01/01/2024;SKU010;OUT-017;5;15
01/01/2024;SKU010;OUT-018;4;5
01/01/2024;SKU010;OUT-019;3;
01/01/2024;SKU010;OUT-020;21;0
01/01/2024;SKU010;OUT-021;1;
01/01/2024;SKU010;OUT-022;2;5
01/01/2024;SKU010;OUT-023;5;10
01/01/2024;SKU010;OUT-024;5;
01/01/2024;SKU010;OUT-025;11;10
01/01/2024;SKU011;OUT-001;0;
01/01/2024;SKU011;OUT-002;5;0
01/01/2024;SKU011;OUT-003;4;
01/01/2024;SKU011;OUT-004;0;15
01/01/2024;SKU011;OUT-005;16;15
01/01/2024;SKU011;OUT-006;5;15
01/01/2024;SKU011;OUT-007;5;5
01/01/2024;SKU011;OUT-008;4;5
01/01/2024;SKU011;OUT-009;2;0
01/01/2024;SKU011;OUT-010;2;
01/01/2024;SKU011;OUT-011;3;
01/01/2024;SKU011;OUT-012;5;
01/01/2024;SKU011;OUT-013;5;0
01/01/2024;SKU011;OUT-014;4;5
01/01/2024;SKU011;OUT-015;6;0
01/01/2024;SKU011;OUT-016;0;15
01/01/2024;SKU011;OUT-017;5;15
01/01/2024;SKU011;OUT-018;5;
01/01/2024;SKU011;OUT-019;13;
01/01/2024;SKU011;OUT-020;5;15
01/01/2024;SKU011;OUT-021;0;0
01/01/2024;SKU011;OUT-022;5;15
01/01/2024;SKU011;OUT-023;5;10
01/01/2024;SKU011;OUT-024;19;
01/01/2024;SKU011;OUT-025;0;15
01/01/2024;SKU012;OUT-001;5;
01/01/2024;SKU012;OUT-002;26;10
01/01/2024;SKU012;OUT-003;16;5
01/01/2024;SKU012;OUT-004;0;0
01/01/2024;SKU012;OUT-005;4;5
01/01/2024;SKU012;OUT-006;2;5
01/01/2024;SKU012;OUT-007;5;5
01/01/2024;SKU012;OUT-008;1;
01/01/2024;SKU012;OUT-009;5;
01/01/2024;SKU012;OUT-010;0;15
01/01/2024;SKU012;OUT-011;5;15
01/01/2024;SKU012;OUT-012;15;0
01/01/2024;SKU012;OUT-013;26;0
01/01/2024;SKU012;OUT-014;5;5
01/01/2024;SKU012;OUT-015;18;
01/01/2024;SKU012;OUT-016;0;10
01/01/2024;SKU012;OUT-017;5;15
01/01/2024;SKU012;OUT-018;2;15
01/01/2024;SKU012;OUT-019;5;5
01/01/2024;SKU012;OUT-020;5;15
01/01/2024;SKU012;OUT-021;0;5
01/01/2024;SKU012;OUT-022;5;0
01/01/2024;SKU012;OUT-023;5;10
01/01/2024;SKU012;OUT-024;21;15
01/01/2024;SKU012;OUT-025;5;0
01/01/2024;SKU013;OUT-001;8;10
01/01/2024;SKU013;OUT-002;2;0
01/01/2024;SKU013;OUT-003;4;0
01/01/2024;SKU013;OUT-004;5;10
01/01/2024;SKU013;OUT-005;5;0
01/01/2024;SKU013;OUT-006;5;
01/01/2024;SKU013;OUT-007;2;15
01/01/2024;SKU013;OUT-008;23;
01/01/2024;SKU013;OUT-009;22;5
01/01/2024;SKU013;OUT-010;5;0
01/01/2024;SKU013;OUT-011;5;5
01/01/2024;SKU013;OUT-012;2;15
01/01/2024;SKU013;OUT-013;3;15
01/01/2024;SKU013;OUT-014;0;
01/01/2024;SKU013;OUT-015;0;10
01/01/2024;SKU013;OUT-016;4;
01/01/2024;SKU013;OUT-017;5;0
01/01/2024;SKU013;OUT-018;4;0
01/01/2024;SKU013;OUT-019;5;5
01/01/2024;SKU013;OUT-020;5;10
01/01/2024;SKU013;OUT-021;4;5
01/01/2024;SKU013;OUT-022;23;
01/01/2024;SKU013;OUT-023;4;5
01/01/2024;SKU013;OUT-024;0;10
01/01/2024;SKU013;OUT-025;5;5
01/01/2024;SKU014;OUT-001;4;0
01/01/2024;SKU014;OUT-002;5;15
01/01/2024;SKU014;OUT-003;6;15
01/01/2024;SKU014;OUT-004;5;0
01/01/2024;SKU014;OUT-005;5;5
01/01/2024;SKU014;OUT-006;7;10
01/01/2024;SKU014;OUT-007;4;5
01/01/2024;SKU014;OUT-008;5;5
01/01/2024;SKU014;OUT-009;5;10
01/01/2024;SKU014;OUT-010;2;10
01/01/2024;SKU014;OUT-011;16;10
01/01/2024;SKU014;OUT-012;4;0
01/01/2024;SKU014;OUT-013;5;
01/01/2024;SKU014;OUT-014;3;15
01/01/2024;SKU014;OUT-015;5;15
01/01/2024;SKU014;OUT-016;5;10
01/01/2024;SKU014;OUT-017;2;10
01/01/2024;SKU014;OUT-018;0;10
01/01/2024;SKU014;OUT-019;5;10
01/01/2024;SKU014;OUT-020;5;
01/01/2024;SKU014;OUT-021;4;15
01/01/2024;SKU014;OUT-022;21;5
01/01/2024;SKU014;OUT-023;2;10
01/01/2024;SKU014;OUT-024;27;15
01/01/2024;SKU014;OUT-025;1;0
01/01/2024;SKU015;OUT-001;29;0
01/01/2024;SKU015;OUT-002;5;5
01/01/2024;SKU015;OUT-003;9;5
01/01/2024;SKU015;OUT-004;11;10
01/01/2024;SKU015;OUT-005;11;15
01/01/2024;SKU015;OUT-006;29;5
01/01/2024;SKU015;OUT-007;5;
01/01/2024;SKU015;OUT-008;5;10
01/01/2024;SKU015;OUT-009;5;5
01/01/2024;SKU015;OUT-010;5;
01/01/2024;SKU015;OUT-011;5;
01/01/2024;SKU015;OUT-012;27;10
01/01/2024;SKU015;OUT-013;0;15
01/01/2024;SKU015;OUT-014;4;
01/01/2024;SKU015;OUT-015;12;10
01/01/2024;SKU015;OUT-016;0;15
01/01/2024;SKU015;OUT-017;2;15
01/01/2024;SKU015;OUT-018;3;0
01/01/2024;SKU015;OUT-019;16;15
01/01/2024;SKU015;OUT-020;2;10
01/01/2024;SKU015;OUT-021;14;5
01/01/2024;SKU015;OUT-022;5;10
01/01/2024;SKU015;OUT-023;2;5
01/01/2024;SKU015;OUT-024;4;15
01/01/2024;SKU015;OUT-025;5;10
01/01/2024;SKU016;OUT-001;5;5
01/01/2024;SKU016;OUT-002;5;15
01/01/2024;SKU016;OUT-003;20;0
01/01/2024;SKU016;OUT-004;4;0
01/01/2024;SKU016;OUT-005;4;0
01/01/2024;SKU016;OUT-006;5;5
01/01/2024;SKU016;OUT-007;5;10
01/01/2024;SKU016;OUT-008;19;0
01/01/2024;SKU016;OUT-009;0;0
01/01/2024;SKU016;OUT-010;4;
01/01/2024;SKU016;OUT-011;5;5
01/01/2024;SKU016;OUT-012;11;
01/01/2024;SKU016;OUT-013;5;
01/01/2024;SKU016;OUT-014;3;10
01/01/2024;SKU016;OUT-015;5;0
01/01/2024;SKU016;OUT-016;4;15
01/01/2024;SKU016;OUT-017;23;
01/01/2024;SKU016;OUT-018;7;
01/01/2024;SKU016;OUT-019;4;15
01/01/2024;SKU016;OUT-020;22;
01/01/2024;SKU016;OUT-021;29;10
01/01/2024;SKU016;OUT-022;15;0
01/01/2024;SKU016;OUT-023;19;0
01/01/2024;SKU016;OUT-024;5;
01/01/2024;SKU016;OUT-025;5;0
01/01/2024;SKU017;OUT-001;2;
01/01/2024;SKU017;OUT-002;6;10
01/01/2024;SKU017;OUT-003;4;
01/01/2024;SKU017;OUT-004;4;
01/01/2024;SKU017;OUT-005;2;5
01/01/2024;SKU017;OUT-006;2;5
01/01/2024;SKU017;OUT-007;5;
01/01/2024;SKU017;OUT-008;5;5
01/01/2024;SKU017;OUT-009;19;
01/01/2024;SKU017;OUT-010;5;0
01/01/2024;SKU017;OUT-011;5;15
01/01/2024;SKU017;OUT-012;5;10
01/01/2024;SKU017;OUT-013;5;15
01/01/2024;SKU017;OUT-014;4;15
01/01/2024;SKU017;OUT-015;4;5
01/01/2024;SKU017;OUT-016;5;10
01/01/2024;SKU017;OUT-017;5;15
01/01/2024;SKU017;OUT-018;5;10
01/01/2024;SKU017;OUT-019;5;15
01/01/2024;SKU017;OUT-020;30;0
01/01/2024;SKU017;OUT-021;28;10
01/01/2024;SKU017;OUT-022;5;5
01/01/2024;SKU017;OUT-023;8;0
01/01/2024;SKU017;OUT-024;0;0
01/01/2024;SKU017;OUT-025;4;
01/01/2024;SKU018;OUT-001;5;15
01/01/2024;SKU018;OUT-002;13;0
01/01/2024;SKU018;OUT-003;13;15
01/01/2024;SKU018;OUT-004;7;5
01/01/2024;SKU018;OUT-005;5;10
01/01/2024;SKU018;OUT-006;2;
01/01/2024;SKU018;OUT-007;4;10
01/01/2024;SKU018;OUT-008;4;15
01/01/2024;SKU018;OUT-009;29;15
01/01/2024;SKU018;OUT-010;5;0
01/01/2024;SKU018;OUT-011;5;0
01/01/2024;SKU018;OUT-012;5;10
01/01/2024;SKU018;OUT-013;5;0
01/01/2024;SKU018;OUT-014;0;5
01/01/2024;SKU018;OUT-015;22;15
01/01/2024;SKU018;OUT-016;5;
01/01/2024;SKU018;OUT-017;5;0
01/01/2024;SKU018;OUT-018;27;
01/01/2024;SKU018;OUT-019;5;
01/01/2024;SKU018;OUT-020;29;5
01/01/2024;SKU018;OUT-021;10;15
01/01/2024;SKU018;OUT-022;18;10
01/01/2024;SKU018;OUT-023;5;5
01/01/2024;SKU018;OUT-024;1;
01/01/2024;SKU018;OUT-025;3;0
01/01/2024;SKU019;OUT-001;9;
01/01/2024;SKU019;OUT-002;5;5
01/01/2024;SKU019;OUT-003;5;5
01/01/2024;SKU019;OUT-004;3;10
01/01/2024;SKU019;OUT-005;5;0
01/01/2024;SKU019;OUT-006;5;
01/01/2024;SKU019;OUT-007;5;
01/01/2024;SKU019;OUT-008;5;0
01/01/2024;SKU019;OUT-009;6;10
01/01/2024;SKU019;OUT-010;5;15
01/01/2024;SKU019;OUT-011;5;10
01/01/2024;SKU019;OUT-012;4;0
01/01/2024;SKU019;OUT-013;4;10
01/01/2024;SKU019;OUT-014;3;15
01/01/2024;SKU019;OUT-015;29;
01/01/2024;SKU019;OUT-016;5;15
01/01/2024;SKU019;OUT-017;0;15
01/01/2024;SKU019;OUT-018;3;0
01/01/2024;SKU019;OUT-019;7;
01/01/2024;SKU019;OUT-020;26;5
01/01/2024;SKU019;OUT-021;28;
01/01/2024;SKU019;OUT-022;16;
01/01/2024;SKU019;OUT-023;5;10
01/01/2024;SKU019;OUT-024;2;0
01/01/2024;SKU019;OUT-025;0;15
01/01/2024;SKU020;OUT-001;5;15
01/01/2024;SKU020;OUT-002;0;
01/01/2024;SKU020;OUT-003;5;5
01/01/2024;SKU020;OUT-004;5;0
01/01/2024;SKU020;OUT-005;5;
01/01/2024;SKU020;OUT-006;5;0
01/01/2024;SKU020;OUT-007;5;
01/01/2024;SKU020;OUT-008;5;0
01/01/2024;SKU020;OUT-009;2;5
01/01/2024;SKU020;OUT-010;0;15
01/01/2024;SKU020;OUT-011;4;15
01/01/2024;SKU020;OUT-012;3;10
01/01/2024;SKU020;OUT-013;5;
01/01/2024;SKU020;OUT-014;5;10
01/01/2024;SKU020;OUT-015;16;10
01/01/2024;SKU020;OUT-016;2;0
01/01/2024;SKU020;OUT-017;0;5
01/01/2024;SKU020;OUT-018;26;
01/01/2024;SKU020;OUT-019;27;10
01/01/2024;SKU020;OUT-020;0;15
01/01/2024;SKU020;OUT-021;5;
01/01/2024;SKU020;OUT-022;5;0
01/01/2024;SKU020;OUT-023;3;0
01/01/2024;SKU020;OUT-024;5;15
01/01/2024;SKU020;OUT-025;5;0
01/01/2024;SKU021;OUT-001;4;0
01/01/2024;SKU021;OUT-002;2;
01/01/2024;SKU021;OUT-003;0;15
01/01/2024;SKU021;OUT-004;5;5
01/01/2024;SKU021;OUT-005;2;0
01/01/2024;SKU021;OUT-006;0;
01/01/2024;SKU021;OUT-007;5;0
01/01/2024;SKU021;OUT-008;5;5
01/01/2024;SKU021;OUT-009;12;15
01/01/2024;SKU021;OUT-010;16;10
01/01/2024;SKU021;OUT-011;2;10
01/01/2024;SKU021;OUT-012;2;0
01/01/2024;SKU021;OUT-013;5;0
01/01/2024;SKU021;OUT-014;5;0
01/01/2024;SKU021;OUT-015;7;15
01/01/2024;SKU021;OUT-016;4;10
01/01/2024;SKU021;OUT-017;6;
01/01/2024;SKU021;OUT-018;3;5
01/01/2024;SKU021;OUT-019;5;15
01/01/2024;SKU021;OUT-020;3;15
01/01/2024;SKU021;OUT-021;4;
01/01/2024;SKU021;OUT-022;14;10
01/01/2024;SKU021;OUT-023;6;5
01/01/2024;SKU021;OUT-024;3;15
01/01/2024;SKU021;OUT-025;4;10
01/01/2024;SKU022;OUT-001;6;15
01/01/2024;SKU022;OUT-002;5;5
01/01/2024;SKU022;OUT-003;6;0
01/01/2024;SKU022;OUT-004;5;15
01/01/2024;SKU022;OUT-005;3;0
01/01/2024;SKU022;OUT-006;15;
01/01/2024;SKU022;OUT-007;4;
01/01/2024;SKU022;OUT-008;9;15
01/01/2024;SKU022;OUT-009;3;5
