snapshotDate;warehouse;sku_code;endingStock
01/01/2024;WH-SMG;SKU001;120
01/01/2024;WH-SMG;SKU002;120
01/01/2024;WH-SBY;SKU003;50
01/01/2024;WH-SBY;SKU007;50
01/01/2024;WH-SBY;SKU008;80
01/01/2024;WH-SBY;SKU009;500
01/01/2024;WH-SMG;SKU004;120
01/01/2024;WH-SBY;SKU005;120
01/01/2024;WH-SBY;SKU006;
01/01/2024;WH-JKT;SKU010;200
01/01/2024;WH-SMG;SKU011;500
01/01/2024;WH-SMG;SKU012;120
01/01/2024;WH-SBY;SKU013;200
01/01/2024;WH-JKT;SKU014;50
01/01/2024;WH-SBY;SKU015;
01/01/2024;WH-SMG;SKU016;50
01/01/2024;WH-JKT;SKU017;50
01/01/2024;WH-SMG;SKU018;
01/01/2024;WH-SBY;SKU019;500
01/01/2024;WH-SMG;SKU020;350
01/01/2024;WH-SBY;SKU021;500
01/01/2024;WH-SBY;SKU022;120
01/01/2024;WH-JKT;SKU023;80
01/01/2024;WH-SBY;SKU024;120
01/01/2024;WH-SMG;SKU025;50
01/01/2024;WH-SBY;SKU026;200
01/01/2024;WH-JKT;SKU027;80
01/01/2024;WH-SBY;SKU028;80
01/01/2024;WH-SMG;SKU029;80
01/01/2024;WH-JKT;SKU030;80
01/01/2024;WH-JKT;SKU031;500
01/01/2024;WH-SBY;SKU032;200
01/01/2024;WH-SBY;SKU033;
01/01/2024;WH-SMG;SKU034;
01/01/2024;WH-SBY;SKU035;500
01/01/2024;WH-SBY;SKU036;80
01/01/2024;WH-JKT;SKU037;350
01/01/2024;WH-SMG;SKU038;350
01/01/2024;WH-SMG;SKU039;50
01/01/2024;WH-SBY;SKU040;200
01/01/2024;WH-JKT;SKU041;120
01/01/2024;WH-SMG;SKU042;120
01/01/2024;WH-JKT;SKU043;120
01/01/2024;WH-SBY;SKU044;
01/01/2024;WH-SBY;SKU045;120
02/01/2024;WH-SBY;SKU001;50
02/01/2024;WH-SBY;SKU002;200
02/01/2024;WH-SMG;SKU003;500
02/01/2024;WH-SBY;SKU007;500
02/01/2024;WH-SMG;SKU008;350
02/01/2024;WH-SMG;SKU009;50
02/01/2024;WH-JKT;SKU004;200
02/01/2024;WH-SMG;SKU005;120
02/01/2024;WH-SMG;SKU006;80
02/01/2024;WH-JKT;SKU010;200
02/01/2024;WH-JKT;SKU011;200
02/01/2024;WH-SMG;SKU012;500
02/01/2024;WH-SBY;SKU013;120
02/01/2024;WH-SMG;SKU014;80
02/01/2024;WH-SMG;SKU015;200
02/01/2024;WH-SBY;SKU016;200
02/01/2024;WH-JKT;SKU017;50
02/01/2024;WH-SBY;SKU018;200
02/01/2024;WH-JKT;SKU019;120
02/01/2024;WH-SMG;SKU020;500
02/01/2024;WH-SBY;SKU021;200
02/01/2024;WH-SBY;SKU022;350
02/01/2024;WH-JKT;SKU023;200
02/01/2024;WH-JKT;SKU024;200
02/01/2024;WH-SMG;SKU025;120
02/01/2024;WH-SMG;SKU026;
02/01/2024;WH-JKT;SKU027;500
02/01/2024;WH-SMG;SKU028;350
02/01/2024;WH-SMG;SKU029;500
02/01/2024;WH-JKT;SKU030;80
02/01/2024;WH-JKT;SKU031;350
02/01/2024;WH-SBY;SKU032;120
02/01/2024;WH-SBY;SKU033;120
02/01/2024;WH-JKT;SKU034;50
