trx_id,trx_date,sku_id,qty_sold,net_sales,product_price,payment_method,channel,outlet_id
TRX1000000,20/02/2024,SKU005,5,625000,125000,Cash,GT,OUT-024
TRX1000001,07/02/2024,SKU006,4,180000,45000,QRIS,MT,OUT-004
TRX1000002,16/03/2024,SKU039,2,150000,75000,QRIS,General Trade,OUT-004
TRX1000003,07/03/2024,SKU005,1,45000,45000,Cash,GT,OUT-022
TRX1000004,21/01/2024,SKU041,2,250000,125000,Credit Card,MT,OUT-012
TRX1000005,20/03/2024,SKU009,3,75000,25000,Debit,Modern trade,OUT-024
TRX1000006,06/03/2024,SKU025,5,225000,45000,QRIS,GT,OUT-001
TRX1000007,09/03/2024,SKU033,3,135000,45000,Cash,MT,OUT-020
TRX1000008,08/02/2024,SKU023,2,250000,125000,Debit,MT,OUT-018
TRX1000009,18/02/2024,SKU002,4,300000,75000,Cash,MT,OUT-002
TRX1000010,06/03/2024,SKU023,3,225000,75000,QRIS,GT,OUT-011
TRX1000011,07/01/2024,SKU035,5,125000,25000,Cash,MT,OUT-024
TRX1000012,16/01/2024,SKU041,3,105000,35000,Cash,GT,OUT-002
TRX1000013,01/03/2024,SKU004,5,275000,55000,Cash,GT,OUT-006
TRX1000014,26/03/2024,SKU010,2,70000,35000,Debit,MT,OUT-005
TRX1000015,19/03/2024,SKU021,1,125000,125000,Debit,Modern trade,OUT-009
TRX1000016,03/03/2024,SKU001,3,105000,35000,QRIS,Modern trade,OUT-014
TRX1000017,01/02/2024,SKU002,5,375000,75000,Cash,GT,OUT-014
TRX1000018,24/02/2024,SKU017,2,90000,45000,QRIS,General rade,OUT-010
TRX1000019,09/01/2024,SKU002,3,75000,25000,QRIS,GT,OUT-011
TRX1000020,14/03/2024,SKU042,2,50000,25000,Credit Card,Modern trade,OUT-015
TRX1000021,09/02/2024,SKU040,3,225000,75000,Cash,GT,OUT-025
TRX1000022,22/02/2024,SKU017,4,300000,75000,QRIS,GT,OUT-012
TRX1000023,18/02/2024,SKU030,2,110000,55000,Cash,Modern trade,OUT-019
TRX1000024,20/02/2024,SKU007,5,225000,45000,Credit Card,Modern trade,OUT-005
TRX1000025,02/03/2024,SKU029,3,225000,75000,Debit,MT,OUT-005
TRX1000026,24/02/2024,SKU033,4,220000,55000,QRIS,MT,OUT-013
TRX1000027,08/02/2024,SKU028,2,50000,25000,Cash,GT,OUT-008
TRX1000028,22/03/2024,SKU033,3,105000,35000,QRIS,GT,OUT-006
TRX1000029,20/01/2024,SKU023,1,55000,55000,QRIS,GT,OUT-011
TRX1000030,11/02/2024,SKU035,2,150000,75000,Cash,MT,OUT-014
TRX1000031,26/01/2024,SKU003,1,125000,125000,QRIS,MT,OUT-007
TRX1000032,02/01/2024,SKU026,4,300000,75000,Cash,GT,OUT-006
TRX1000033,13/03/2024,SKU021,2,70000,35000,Cash,mt,OUT-018
TRX1000034,21/03/2024,SKU008,2,90000,45000,Credit Card,mt,OUT-023
