trx_id;trx_date;SKU_CODE;outlet;QtySold;net_sales;CHANNEL;payment_method;product_price
TRX1001286;01/01/2024;SKU008;OUT-006;1;110000;GT;QRIS;75000
TRX1001089;01/01/2024;SKU014;OUT-020;4;70000;MT;QRIS;25000
TRX1002158;01/01/2024;SKU022;OUT-008;9;90000;MT;QRIS;75000
TRX1002273;01/01/2024;SKU025;OUT-003;1;75000;GT;QRIS;45000
TRX1002272;01/01/2024;SKU003;OUT-017;8;165000;MT;Cash;35000
TRX1000967;01/01/2024;SKU004;OUT-012;2;150000;GT;QRIS;55000
TRX1001686;01/01/2024;SKU043;OUT-017;5;275000;GT;QRIS;35000
TRX1001645;01/01/2024;SKU008;OUT-013;5;70000;GT;Cash;125000
TRX1000695;01/01/2024;SKU007;OUT-006;5;140000;MT;Cash;55000
TRX1000937;01/01/2024;SKU029;OUT-009;1;225000;GT;QRIS;35000
TRX1001058;01/01/2024;SKU020;OUT-022;4;375000;MT;QRIS;75000
TRX1002028;01/01/2024;SKU016;OUT-002;5;275000;GT;QRIS;35000
TRX1002696;01/01/2024;SKU015;OUT-008;7;55000;MT;Credit Card;35000
TRX1002409;01/01/2024;SKU035;OUT-008;1;25000;GT;Cash;55000
TRX1002566;01/01/2024;SKU024;OUT-016;2;125000;GT;Cash;25000
TRX1003495;01/01/2024;SKU039;OUT-017;11;50000;MT;Cash;25000
TRX1001476;01/01/2024;SKU042;OUT-003;11;135000;MT;Credit Card;25000
TRX1002433;01/01/2024;SKU038;OUT-022;1;75000;MT;Credit Card;35000
TRX1001867;01/01/2024;SKU029;OUT-011;1;225000;GT;Cash;75000
TRX1001576;01/01/2024;SKU031;OUT-005;3;220000;MT;Credit Card;25000
TRX1002956;01/01/2024;SKU030;OUT-017;2;105000;GT;Cash;35000
TRX1001189;01/01/2024;SKU003;OUT-007;5;625000;GT;Cash;125000
TRX1003654;01/01/2024;SKU014;OUT-017;1;25000;GT;QRIS;125000
TRX1000957;01/01/2024;SKU014;OUT-003;5;50000;GT;Cash;25000
TRX1003610;01/01/2024;SKU011;OUT-003;3;125000;MT;QRIS;25000
TRX1002839;01/01/2024;SKU040;OUT-001;7;625000;MT;Cash;25000
TRX1000543;01/01/2024;SKU031;OUT-018;2;165000;MT;Cash;75000
TRX1002462;01/01/2024;SKU045;OUT-008;5;375000;GT;QRIS;125000
TRX1002118;01/01/2024;SKU009;OUT-001;5;55000;MT;Credit Card;35000
TRX1002882;01/01/2024;SKU039;OUT-020;1;35000;GT;QRIS;55000
TRX1001628;01/01/2024;SKU004;OUT-014;10;55000;MT;QRIS;45000
TRX1001393;01/01/2024;SKU003;OUT-010;3;135000;GT;Cash;75000
TRX1000515;01/01/2024;SKU019;OUT-024;4;275000;GT;Cash;25000
TRX1000135;01/01/2024;SKU040;OUT-010;4;625000;GT;QRIS;35000
TRX1000820;01/01/2024;SKU005;OUT-007;6;35000;MT;Debit;35000
TRX1003721;01/01/2024;SKU039;OUT-018;5;100000;MT;QRIS;25000
TRX1000917;01/01/2024;SKU032;OUT-015;10;180000;MT;Debit;25000
TRX1003982;01/01/2024;SKU005;OUT-024;11;125000;MT;Cash;125000
TRX1003999;01/01/2024;SKU024;OUT-019;3;220000;GT;Cash;55000
TRX1002241;01/01/2024;SKU006;OUT-018;5;165000;MT;Debit;55000
TRX1001465;01/01/2024;SKU001;OUT-008;3;105000;GT;Cash;25000
TRX1002093;01/01/2024;SKU041;OUT-017;1;125000;MT;Credit Card;45000
TRX1003305;01/01/2024;SKU041;OUT-012;1;45000;GT;QRIS;35000
TRX1000381;01/01/2024;SKU037;OUT-013;3;625000;GT;QRIS;25000
TRX1002369;01/01/2024;SKU033;OUT-004;10;50000;MT;QRIS;45000
TRX1001738;01/01/2024;SKU017;OUT-019;4;90000;GT;QRIS;75000
TRX1002314;02/01/2024;SKU025;OUT-023;2;500000;GT;QRIS;25000
TRX1000694;02/01/2024;SKU004;OUT-002;4;375000;GT;Cash;55000
TRX1002374;02/01/2024;SKU035;OUT-025;1;180000;GT;Cash;75000
TRX1001978;02/01/2024;SKU032;OUT-001;4;25000;MT;Debit;35000
TRX1003528;02/01/2024;SKU016;OUT-003;1;225000;GT;Cash;35000
TRX1000562;02/01/2024;SKU044;OUT-005;5;300000;MT;Cash;25000
TRX1002171;02/01/2024;SKU017;OUT-018;2;165000;MT;Credit Card;45000
TRX1002614;02/01/2024;SKU020;OUT-005;9;225000;MT;QRIS;75000
TRX1002941;02/01/2024;SKU025;OUT-014;3;165000;GT;Cash;35000
TRX1001816;02/01/2024;SKU039;OUT-010;5;180000;GT;Cash;45000
TRX1000364;02/01/2024;SKU036;OUT-006;6;500000;MT;Cash;55000
TRX1002770;02/01/2024;SKU005;OUT-019;6;125000;MT;Cash;125000
TRX1000620;02/01/2024;SKU045;OUT-008;1;150000;GT;QRIS;125000
TRX1002072;02/01/2024;SKU020;OUT-008;10;165000;MT;Credit Card;25000
TRX1003092;02/01/2024;SKU040;OUT-022;5;300000;GT;Cash;55000
TRX1002573;02/01/2024;SKU010;OUT-001;4;125000;MT;Cash;35000
TRX1002479;02/01/2024;SKU018;OUT-013;11;125000;MT;QRIS;55000
TRX1002519;02/01/2024;SKU027;OUT-005;5;105000;GT;Cash;35000
TRX1003399;02/01/2024;SKU003;OUT-004;3;625000;MT;Cash;25000
TRX1000978;02/01/2024;SKU008;OUT-010;9;105000;MT;Cash;55000
TRX1000855;02/01/2024;SKU044;OUT-022;3;175000;MT;QRIS;25000
TRX1001891;02/01/2024;SKU015;OUT-004;5;275000;MT;QRIS;75000
TRX1003042;02/01/2024;SKU031;OUT-003;2;100000;GT;QRIS;55000
TRX1001948;02/01/2024;SKU036;OUT-009;9;275000;MT;Cash;125000
TRX1002531;02/01/2024;SKU007;OUT-023;7;625000;MT;Cash;35000
TRX1000709;02/01/2024;SKU012;OUT-023;4;45000;GT;Cash;55000
TRX1001082;02/01/2024;SKU036;OUT-011;4;70000;MT;Debit;125000
