trx_id,trx_date,SKU_CODE,outlet,QtySold,net_sales,CHANNEL,payment_method,product_price
TRX1003039,2024-03-01,SKU032,OUT-025,5,625000,GT,Cash,125000
TRX1003894,2024-03-01,SKU003,OUT-014,1,75000,GT,Cash,75000
TRX1002478,2024-03-01,SKU032,OUT-017,3,225000,MT,Debit,35000
TRX1001433,2024-03-01,SKU002,OUT-008,1,25000,GT,QRIS,125000
TRX1001803,2024-03-01,SKU017,OUT-016,4,180000,GT,Cash,45000
TRX1002095,2024-03-01,SKU014,OUT-002,3,165000,MT,QRIS,45000
TRX1001059,2024-03-01,SKU004,OUT-012,1,125000,MT,Cash,55000
TRX1002763,2024-03-01,SKU018,OUT-005,3,225000,GT,QRIS,75000
TRX1003177,2024-03-01,SKU022,OUT-005,4,180000,MT,Credit Card,125000
TRX1002164,2024-03-01,SKU015,OUT-013,5,125000,GT,QRIS,125000
TRX1000493,2024-03-01,SKU002,OUT-015,4,500000,GT,Cash,45000
TRX1001480,2024-03-01,SKU010,OUT-020,4,180000,MT,QRIS,25000
TRX1002188,2024-03-01,SKU008,OUT-020,4,500000,GT,Cash,35000
TRX1002113,2024-03-01,SKU042,OUT-008,4,220000,GT,Cash,75000
TRX1000067,2024-03-01,SKU030,OUT-010,2,110000,GT,Cash,75000
TRX1003101,2024-03-01,SKU040,OUT-004,2,90000,GT,Cash,125000
TRX1003963,2024-03-01,SKU034,OUT-006,4,140000,MT,Credit Card,55000
TRX1002529,2024-03-01,SKU008,OUT-003,3,375000,GT,Cash,125000
TRX1002788,2024-03-01,SKU021,OUT-007,1,45000,MT,QRIS,125000
TRX1003084,2024-03-01,SKU019,OUT-002,4,140000,GT,Cash,75000
TRX1003560,2024-03-01,SKU010,OUT-007,1,55000,GT,QRIS,125000
TRX1001823,2024-03-01,SKU023,OUT-006,1,25000,GT,Cash,25000
TRX1003890,2024-03-01,SKU008,OUT-004,4,140000,MT,Credit Card,55000
TRX1003333,2024-03-01,SKU040,OUT-010,1,35000,MT,QRIS,35000
